                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.55623,                0.33765,                0.90707,                0.60522,                0.26773,                0.92767,                0.98392,                0.99899,                0.99437,                0.88142,                0.49713,                0.24743,                0.90886,                0.51492,                0.16707,                0.92078,              0.0012874,              0.0012874,              0.0012874
                     26,                0.55199,                0.32583,                0.90002,                0.58924,                0.25191,                0.91693,                0.98757,                0.99495,                0.99433,                0.88105,                0.50092,                0.26265,                0.90984,                0.53047,                0.18492,                0.92204,              0.0012709,              0.0012709,              0.0012709
                     27,                0.55078,                0.31978,                0.91281,                0.59237,                0.23828,                0.93016,                0.97877,                0.98291,                0.99389,                0.87977,                0.51474,                 0.2601,                0.91178,                0.52052,                  0.173,                0.91972,              0.0012544,              0.0012544,              0.0012544
                     28,                0.55566,                0.32757,                0.91463,                 0.6002,                0.23991,                0.93452,                0.99313,                0.98627,                0.99382,                0.87783,                0.51687,                 0.2606,                0.91317,                0.53971,                0.17111,                0.92541,              0.0012379,              0.0012379,              0.0012379
                     29,                0.54355,                 0.3184,                0.89697,                0.58191,                0.23455,                0.91163,                0.99269,                0.98506,                0.99276,                0.85984,                0.53381,                0.28607,                0.92595,                 0.5613,                0.18303,                0.94081,              0.0012214,              0.0012214,              0.0012214
                     30,                0.53219,                0.31362,                0.90693,                0.57493,                 0.2517,                 0.9233,                0.98981,                0.99259,                0.99261,                0.87289,                0.53635,                0.28891,                0.92142,                0.54094,                0.17886,                0.92164,              0.0012049,              0.0012049,              0.0012049
                     31,                0.52657,                0.30401,                 0.8977,                0.57034,                0.24142,                0.91367,                0.99266,                0.99654,                0.99153,                 0.8733,                0.52117,                0.26649,                0.91955,                0.52924,                0.17761,                0.91944,              0.0011884,              0.0011884,              0.0011884
                     32,                0.54134,                0.31551,                0.90907,                0.57307,                0.23754,                0.92126,                0.98218,                0.99082,                 0.9929,                0.88183,                0.52857,                 0.2679,                0.92618,                0.53329,                0.18084,                0.92758,              0.0011719,              0.0011719,              0.0011719
                     33,                0.54341,                0.30519,                0.89415,                0.57728,                0.21684,                0.90601,                0.99196,                0.98335,                0.99327,                0.87472,                0.55085,                0.29226,                0.93157,                0.55691,                 0.1933,                0.93499,              0.0011554,              0.0011554,              0.0011554
                     34,                0.53868,                0.30211,                0.89683,                 0.5781,                0.22856,                0.91069,                0.97865,                 0.9827,                0.99132,                 0.8798,                0.53012,                0.29423,                0.91918,                 0.5323,                0.20876,                0.92546,              0.0011389,              0.0011389,              0.0011389
                     35,                0.53258,                0.30126,                0.89041,                0.56729,                0.22391,                0.90232,                0.99559,                0.99706,                0.99485,                 0.8933,                0.50248,                0.24187,                 0.9045,                0.49805,                0.14831,                0.91159,              0.0011224,              0.0011224,              0.0011224
                     36,                0.52621,                0.28572,                0.88774,                0.55789,                0.20691,                0.89856,                0.99514,                0.99797,                0.99474,                0.88714,                0.50089,                0.24573,                0.91029,                0.51559,                 0.1551,                0.92487,              0.0011059,              0.0011059,              0.0011059
                     37,                 0.5134,                0.29374,                0.88698,                0.55789,                0.21792,                0.90021,                0.99391,                 0.9988,                0.99493,                0.89042,                0.50271,                0.24575,                0.90601,                0.52567,                0.15457,                0.91587,              0.0010894,              0.0010894,              0.0010894
                     38,                0.50314,                0.28149,                0.87657,                0.53458,                0.20469,                0.88474,                0.99629,                0.99568,                0.99459,                 0.8806,                0.50363,                0.24319,                 0.9065,                0.51237,                0.16138,                0.91403,              0.0010729,              0.0010729,              0.0010729
                     39,                0.50575,                0.27595,                0.88167,                0.53939,                0.19912,                 0.8912,                 0.9932,                0.99553,                0.99404,                0.88354,                0.49891,                   0.24,                0.90435,                0.51695,                0.15904,                0.91904,              0.0010564,              0.0010564,              0.0010564
                     40,                0.52424,                0.29727,                0.91199,                0.56881,                0.21941,                0.92458,                0.99221,                      1,                0.99397,                0.87925,                0.51437,                0.24821,                0.91388,                0.52866,                0.15902,                0.92508,              0.0010399,              0.0010399,              0.0010399
                     41,                0.50856,                0.27969,                 0.8897,                0.54362,                0.20348,                0.89995,                0.99529,                0.99959,                0.99412,                0.87266,                0.51547,                0.23898,                0.91672,                0.54681,                0.16064,                0.93773,              0.0010234,              0.0010234,              0.0010234
                     42,                0.50764,                0.27735,                0.88344,                0.54598,                0.20144,                0.89485,                0.99404,                0.99953,                0.99368,                0.87055,                0.53216,                0.24484,                0.92231,                0.55848,                0.16136,                0.93255,              0.0010069,              0.0010069,              0.0010069
                     43,                0.49823,                0.27316,                0.87505,                0.53911,                0.20688,                0.88794,                 0.9922,                0.99751,                0.99276,                0.88313,                0.51696,                0.24363,                0.91168,                0.52411,                0.15633,                0.91709,             0.00099036,             0.00099036,             0.00099036
                     44,                0.50309,                0.27981,                0.88379,                0.54744,                 0.2097,                0.89783,                0.99193,                0.98494,                0.99426,                0.89246,                0.50061,                0.23965,                0.90849,                0.50269,                0.16693,                0.91444,             0.00097386,             0.00097386,             0.00097386
                     45,                0.50171,                 0.2812,                0.88744,                0.54851,                0.21992,                0.90009,                0.99561,                0.99408,                0.99459,                0.88728,                0.50777,                0.23891,                0.90877,                0.51804,                0.16061,                0.91682,             0.00095736,             0.00095736,             0.00095736
                     46,                0.49448,                0.27234,                0.88219,                0.52933,                0.20023,                0.89365,                0.99187,                      1,                0.99467,                0.88408,                0.49442,                0.23399,                0.90465,                0.49726,                0.15127,                0.91018,             0.00094085,             0.00094085,             0.00094085
                     47,                0.49001,                0.27157,                0.88034,                0.52579,                0.20219,                0.89065,                0.99029,                0.99999,                0.99437,                0.89414,                0.49383,                0.24117,                0.90254,                0.49593,                0.16189,                0.90953,             0.00092435,             0.00092435,             0.00092435
                     48,                0.49377,                 0.2772,                  0.877,                0.52948,                0.20921,                0.88902,                0.98429,                0.99998,                0.99434,                0.89244,                0.49104,                0.23075,                0.90164,                0.49541,                0.15351,                 0.9036,             0.00090785,             0.00090785,             0.00090785
                     49,                0.48246,                 0.2654,                0.87724,                0.51267,                0.20205,                 0.8874,                0.99552,                0.99828,                0.99434,                 0.8894,                0.50823,                0.22956,                0.91106,                0.51836,                0.15825,                0.91701,             0.00089134,             0.00089134,             0.00089134
                     50,                0.48875,                 0.2656,                0.86521,                 0.5221,                0.19709,                0.87482,                0.99451,                0.99551,                0.99452,                0.88368,                0.51133,                0.23759,                0.91207,                 0.5293,                 0.1607,                0.92258,             0.00087484,             0.00087484,             0.00087484
                     51,                0.51077,                0.28286,                0.88197,                0.55072,                0.21437,                0.89127,                0.99349,                 0.9997,                0.99452,                0.89218,                0.49384,                0.23388,                0.90498,                0.49834,                  0.144,                0.90826,             0.00085834,             0.00085834,             0.00085834
                     52,                 0.4888,                0.26783,                 0.8852,                0.52134,                 0.1952,                0.89608,                0.99213,                0.99923,                0.99456,                0.89046,                0.47622,                0.22967,                0.90025,                0.50259,                 0.1517,                0.91272,             0.00084184,             0.00084184,             0.00084184
                     53,                0.48081,                 0.2559,                0.87169,                0.51721,                0.18786,                0.88237,                0.99461,                0.99608,                0.99463,                0.88521,                0.51281,                0.24899,                0.91082,                0.52997,                  0.161,                0.91935,             0.00082533,             0.00082533,             0.00082533
                     54,                0.48198,                0.26468,                 0.8772,                0.51646,                0.19303,                0.88679,                0.98807,                0.99953,                0.99474,                0.88249,                0.50124,                0.23449,                 0.9107,                 0.5157,                0.15271,                0.91782,             0.00080883,             0.00080883,             0.00080883
                     55,                0.48983,                0.26377,                0.88243,                0.52181,                0.19277,                0.89366,                0.98929,                      1,                0.99471,                0.88994,                0.48824,                0.22894,                0.90606,                0.49053,                0.14912,                0.90944,             0.00079233,             0.00079233,             0.00079233
                     56,                0.48041,                0.25889,                0.86713,                0.50611,                0.17859,                0.87478,                0.98463,                0.99371,                0.99399,                0.87871,                0.53931,                0.25002,                0.92133,                 0.5343,                0.16784,                0.92345,             0.00077582,             0.00077582,             0.00077582
                     57,                0.48974,                0.27613,                0.88117,                0.51831,                0.19356,                0.88995,                0.99145,                      1,                0.99438,                0.87914,                0.51626,                0.24726,                0.91749,                0.52568,                0.16429,                0.92606,             0.00075932,             0.00075932,             0.00075932
                     58,                0.48347,                0.25994,                0.88077,                0.51427,                0.18072,                0.88946,                0.99417,                0.99687,                0.99449,                0.88355,                0.49454,                0.23308,                 0.9049,                0.50113,                0.15273,                   0.91,             0.00074282,             0.00074282,             0.00074282
                     59,                0.47286,                0.25331,                0.86442,                0.49624,                0.17899,                0.87276,                0.98914,                      1,                0.99438,                0.88837,                0.50797,                0.23027,                0.90735,                0.51072,                0.15324,                0.90786,             0.00072631,             0.00072631,             0.00072631
                     60,                0.47673,                0.25344,                0.86688,                0.50612,                 0.1827,                0.87488,                0.98674,                0.99683,                0.99452,                0.89613,                0.47957,                0.22742,                0.89913,                0.48267,                0.14735,                0.89893,             0.00070981,             0.00070981,             0.00070981
                     61,                 0.4651,                0.24223,                0.87296,                0.49528,                0.18008,                0.88476,                0.98822,                0.99982,                0.99444,                0.88656,                0.49277,                0.21697,                0.90701,                0.49812,                0.15112,                0.91077,             0.00069331,             0.00069331,             0.00069331
